Phases,T_min_K,T_max_K,Beta0,Beta1,Beta2
"[liquid, gas]",273.16,599.761,-9.489E-02,2.547E-04,0
"[liquid, Ih]",253.769,273.16,2.888E+00,-1.048E-02,0
"[I, III]",240.898,253.769,2.265E-01,2.416E-05,0
"[I, II]",200.77,240.898,1.108E-01,5.045E-04,0
"[liquid, III]",253.769,256.806,-1.105E+01,4.446E-02,0
"[II, III]",240.898,249.234,-4.600E-01,-9.290E-03,5.10E-05
"[liquid, V]",256.806,273.478,4.516E+01,-3.524E-01,6.93E-04
"[III, V]",249.234,256.806,3.455E-02,1.297E-03,0
"[II, V]",224.266,249.234,3.035E+00,-1.076E-02,0
"[V, VI]",200.77,273.478,6.516E-01,-1.181E-04,0
"[liquid, VI]",273.478,357.616,4.970E+00,-4.269E-02,9.80E-05
"[VI, VII]",200.892,357.616,2.200E+00,8.563E-05,0
"[liquid, VII]",357.616,491.763,1.090E+01,-5.382E-02,8.30E-05
